AQI_Value,CO_AQI_Value,Ozone_AQI_Value,NO2_AQI_Value,PM2.5_AQI_Value,latitude,Liquefied_Natural_Gas
27,0,19,0,27,-18.3,143.55
69,3,14,18,69,42.9726,-88.1291
37,1,6,1,37,-19.5358,-49.4858
59,1,37,3,59,50.3333,7.2167
59,2,5,5,59,3.585,-76.4958
36,0,36,0,28,59.6542,12.5914
36,1,24,2,36,47.35,8.7167
110,2,34,6,110,13.2833,-88.55
34,1,24,7,34,41.823,-71.4187
64,1,22,0,64,-20.2847,44.3175
29,1,8,2,29,-18.7819,-40.98
52,2,13,0,52,-17.4,32.2167
28,1,28,0,3,61.3614,63.5842
30,1,27,5,30,39.7924,-75.0363
65,0,27,0,65,-41.2167,174.9167
65,1,55,0,65,47.7822,7.3481
71,2,19,5,71,16.7804,-90.12
38,1,24,3,38,50.8811,3.4001
63,1,28,0,63,41.4783,-87.0506
28,0,20,0,28,-9.6219,-42.0808
49,1,18,7,49,42.5841,-72.2177
69,1,69,3,29,33.9366,-84.3703
85,2,18,18,85,42.4986,-83.1853
40,1,40,0,18,43.2569,-2.9236
52,1,39,1,52,43.7608,1.9886
41,0,11,0,41,-9.5289,-48.59
67,2,10,11,67,36.2599,138.8899
34,0,34,0,15,54.2367,10.2822
80,1,26,0,80,8.9999,125.2648
34,0,28,2,34,51.3667,10.8667
41,1,41,0,31,45.9,28.6689
42,1,39,1,42,39.4362,-83.8141
35,1,35,0,32,55.95,98.0167
82,0,23,0,82,15.2736,73.9581
38,1,8,2,38,-25.4669,-50.6508
53,1,29,1,53,11.6066,78.0068
43,0,14,3,43,-6.9628,-35.6919
99,3,3,28,99,33.7394,-84.1644
82,1,68,0,82,43.6333,13.3167
80,1,26,0,80,9.2289,126.0167
118,4,3,41,118,41.5235,-87.551
32,1,22,0,32,3.75,8.7833
67,1,31,2,67,22.5822,-83.2489
132,2,132,2,78,34.4259,115.6467
55,1,8,1,55,7.2467,-70.7292
190,1,38,0,190,26.0501,78.2752
139,1,24,2,139,32.4653,-93.7955
38,1,38,0,35,54.891,-2.944
39,1,28,4,39,52.6667,4.7167
82,3,5,10,82,14.2917,-89.8958
35,1,30,8,35,55.95,38.05
69,2,20,6,69,45.5667,8.1667
73,3,34,1,73,1.1675,33.71
69,1,33,2,69,44.9833,20.1667
52,1,2,3,52,-4.1939,-40.4769
161,2,161,2,83,33.583,114.0109
50,1,28,1,50,46.8297,12.7697
56,1,18,6,56,38.8602,-86.4895
53,1,20,0,53,-11.6,34.3
61,1,28,3,61,9.033,-79.5
192,1,36,0,192,24.18,75.63
41,1,26,3,41,49.5,10.4167
57,1,31,1,57,20.2156,-100.8961
40,0,40,0,27,14.918,-23.509
37,1,37,1,11,36.4422,139.8147
59,1,59,2,50,35.2647,136.7969
37,1,12,1,37,22.7439,-82.9581
135,3,16,16,135,31.4174,119.4786
124,1,58,2,124,41.5581,69.7047
152,4,17,6,152,45.1058,7.5434
37,1,13,5,37,34.598,-112.3185
52,1,46,3,52,36.3155,-78.5848
131,3,24,7,131,-23.5489,-46.9342
56,1,13,18,56,37.9931,-122.2833
41,1,41,0,6,46.3629,33.5302
75,1,15,8,75,20.6481,-75.9317
46,1,46,0,30,42.1822,2.489
62,1,38,1,62,25.8673,86.5115
78,1,23,4,78,28.4968,-81.3316
21,0,18,0,21,-24.4067,25.495
39,2,10,0,39,4.275,21.0
57,1,23,0,57,12.3117,121.1472
21,0,14,0,21,-7.8828,-40.0819
184,5,63,12,184,25.73,82.68
172,7,0,22,172,-23.4864,-46.3486
30,1,30,3,27,53.8397,9.9603
41,1,26,4,41,50.9831,6.0
193,1,47,0,193,24.6005,80.8322
35,1,34,4,35,44.1389,12.2444
69,1,46,1,69,48.9,2.5667
64,2,18,0,64,6.7333,-3.4833
67,1,64,0,67,48.0167,11.5833
24,0,5,1,24,11.2,123.1
74,1,74,1,27,36.4574,140.4868
30,0,30,1,22,39.7862,-77.7221
22,0,15,0,22,-3.85,35.55
60,2,39,8,60,33.5818,-85.0838
54,1,39,0,54,52.2675,-9.6962
30,1,30,2,28,26.1682,-80.2017
161,3,160,1,161,32.5739,74.0789
33,1,33,0,30,40.9333,38.2333
95,1,95,1,17,49.3789,2.4125
43,2,23,5,43,47.4333,8.5667
71,2,22,12,71,49.025,-122.8028
50,1,20,5,50,48.9261,2.2178
41,1,41,0,26,36.8874,30.7075
20,1,14,0,20,-17.3508,-44.9619
65,1,38,2,65,44.6633,20.9289
53,1,39,2,53,41.3128,-81.8313
39,1,20,2,39,31.6134,-94.6528
59,1,36,4,59,49.7197,11.0581
32,1,32,2,27,34.7179,137.8515
50,1,20,15,50,33.6872,-111.8651
103,4,7,11,103,-21.995,-42.9139
153,6,75,18,153,33.9562,116.789
79,2,13,27,79,41.7139,-87.7528
63,1,24,2,63,9.828,77.673
39,1,39,4,25,41.6581,-81.4322
34,1,19,4,34,37.3333,-5.4167
38,0,28,1,38,29.9101,-90.0515
63,1,26,1,63,14.3167,-90.3667
47,1,7,7,47,-38.7089,-73.1647
16,0,16,0,7,7.3419,134.4792
79,1,79,3,34,35.566,-89.6482
37,1,35,0,37,56.6667,59.3167
35,0,35,0,14,53.1736,5.4272
76,2,72,1,76,25.4,87.1
75,1,48,4,75,32.0167,34.75
56,1,56,1,35,38.9621,-84.3859
35,1,35,0,27,52.5,82.7833
54,2,30,11,54,41.5095,-87.9703
153,3,19,9,153,10.0,124.3167
30,1,30,3,29,51.45,8.35
103,0,27,0,103,17.98,74.43
36,1,36,3,19,37.1869,-8.4389
34,1,34,0,8,58.8833,40.25
34,1,34,0,28,55.9667,43.0667
57,2,33,4,57,37.3667,14.2
34,1,9,1,34,-23.6628,-52.605
69,1,69,0,43,43.5531,11.5894
69,1,41,1,69,-7.5667,110.8167
65,1,15,10,65,30.2286,-93.3566
23,0,11,1,23,-14.0667,-75.7333
48,1,48,0,29,43.5678,3.9021
146,0,25,0,146,23.2611,68.8267
